point	title	description	icon
49.5068900,-1.8472070	http://www.lahague-tourisme.com/index.php?&option=webcamVS&action=afficher_contenu&produit=lahague01	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
49.1958607,-0.3631979	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1925514,-0.3673875	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1915066,-0.3631335	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1936662,-0.3650218	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1940904,-0.3663951	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1915417,-0.3629243	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1959133,-0.3632838	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1935435,-0.3648341	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1931333,-0.3629082	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1944374,-0.3661054	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1946723,-0.3622431	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1931158,-0.3617173	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1943217,-0.3618354	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1951596,-0.3621304	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1917205,-0.3617978	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1952542,-0.3614920	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1955382,-0.3611755	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1918572,-0.3618085	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1946618,-0.3624684	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1955908,-0.3611755	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1955347,-0.3620285	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1949037,-0.3616047	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1890280,-0.3633374	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1909527,-0.3671461	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1903322,-0.3652418	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1903076,-0.3633910	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1910369,-0.3620338	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
49.1911490,-0.3611273	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
48.1173323,-1.6775401	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
48.1193874,-1.6669908	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
47.7932489,-4.2828072	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
45.6025184,-0.9980989	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
45.6964310,-0.3311480	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
45.6964282,-0.3311505	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
45.6966373,-0.3308158	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
45.6971171,-0.3353214	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
45.6973672,-0.3317102	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
45.6970294,-0.3353668	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
45.6964378,-0.3315153	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
45.6964548,-0.3325530	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
45.6968714,-0.3322576	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
45.6968563,-0.3322707	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
45.6973641,-0.3317167	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
45.6965117,-0.3316516	CCTV	operator: Hennessy</br>type: outdoor	http://www.leretourdelautruche.com/map/cctv/cctv_outdoor.png
