point	title	description	iconSize	iconOffset	icon
43.3153461,3.4719411	Agde 	Nombre de caméras inconnu</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
44.2027780,0.6205265	Agen	19 + 3 en projet</br>Coût :600 000€ (source internaute)</br>Source : <a href="http://www.ladepeche.fr/article/2009/11/06/709206-Trois-cameras-de-plus-d-ici-la-fin-2010.html">http://www.ladepeche.fr/article/2009/11/06/709206-Trois-cameras-de-plus-d-ici-la-fin-2010.html</> 	32,32	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.5660386,4.1928552	Aigues-Mortes 	17 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	32,32	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.5265510,5.4454053	Aix en provence 	37 caméras</br>Source : <a href="http://www.mairie-aixenprovence.fr/Cameras-de-surveillance">http://www.mairie-aixenprovence.fr/Cameras-de-surveillance</> 	35,35	-18,-18	http://www.leretourdelautruche.com/map/cctv/cctv1.png
41.9191197,8.7387831	Ajaccio 	Nombre de caméras inconnu</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
44.1252000,4.0773700	Alès	13 caméras</br>Source : <a href="http://www.agglo-grandales.fr/infos/index.php?id_art=487">http://www.agglo-grandales.fr/infos/index.php?id_art=487</> 	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.3363353,5.4820441	Allauch	5 caméras</br>Source : <a href="http://www.allauch.com/textes/pdf/bim100.pdf">http://www.allauch.com/textes/pdf/bim100.pdf</> 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
49.8940719,2.2989172	Amiens 	48 caméras http://www.videosurveillance-infos.com/file/54076/</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	37,37	-19,-19	http://www.leretourdelautruche.com/map/cctv/cctv1.png
45.8991498,6.1299856	Annecy 	37 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	35,35	-18,-18	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.7533999,2.2969934	Antony	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.9465328,2.2487304	Argenteuil 	Nombre de caméras inconnu</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
50.2911148,2.7780163	Arras	En projet en 01/2009</br>Source : <a href="http://www.lavenirdelartois.fr/actualite/la_une/Arras/Vie_Locale/2009/01/21/article_quand-les-cameras-investissent-les-ville.shtml">http://www.lavenirdelartois.fr/actualite/la_une/Arras/Vie_Locale/2009/01/21/article_quand-les-cameras-investissent-les-ville.shtml</> 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.9102000,2.2888900	Asnières-sur-seine	Environ 60 caméras</br>Source : <a href="http://asnierois.free.fr/histoire.php">http://asnierois.free.fr/histoire.php</> <a href="http://www.asnieres-sur-seine.fr/Cadre-de-vie/Securite">http://www.asnieres-sur-seine.fr/Cadre-de-vie/Securite</>   	38,38	-19,-19	http://www.leretourdelautruche.com/map/cctv/cctv1.png
44.6198298,4.3863803	Aubenas	17 (source posteur)</br>Source : <a href="http://rebellyon.info/Aubenas-entre-dans-l-age-du.html">http://rebellyon.info/Aubenas-entre-dans-l-age-du.html</> 	32,32	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.9386000,2.4906000	Aulnay-sous-Bois	28 Selon l'ancien adjoint à la sécurité d'Aulnay http://www.monaulnay.com/2009/03/la-videosurveillance-en-question.html#comment-3367</br>Coût :500 000€ + 30 000€/an (entretient)</br>Source : Selon l'ancien adjoint à la sécurité d'Aulnay <a href="http://www.monaulnay.com/2009/03/la-videosurveillance-en-question.html#comment-3367">http://www.monaulnay.com/2009/03/la-videosurveillance-en-question.html#comment-3367</> 	34,34	-17,-17	http://www.leretourdelautruche.com/map/cctv/cctv1.png
45.3697250,4.1981828	Aurec-Sur-Loire 	13 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
47.7955951,3.5773970	Auxerre	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.9422681,4.8079667	Avignon	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
